unfiltered_contours, biggest_contour, filtered_contours, sorted_contours, num_rects, num_contours, num_targets, cx_list, cy_list, index, coords, difference
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[577.5, 101.5]",577.5,[577.5],[577.5],0,1,0,[],[],0,"(-1, -1)",321
"[3373.0, 632.0]",632.0,[632.0],[632.0],0,1,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[73.0],73.0,[73.0],[73.0],0,1,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[1400.0, 504.5]",1400.0,[1400.0],[1400.0],0,1,0,[],[],0,"(-1, -1)",321
"[2405.0, 827.5]",827.5,[827.5],[827.5],0,1,0,[],[],0,"(-1, -1)",321
"[39.0, 209.0]",209.0,[209.0],[209.0],0,1,0,[],[],0,"(-1, -1)",321
[432.0],432.0,[432.0],[432.0],0,1,0,[],[],0,"(-1, -1)",321
[439.5],439.5,[439.5],[439.5],0,1,0,[],[],0,"(-1, -1)",321
"[5772.5, 1188.0]",1188.0,[1188.0],[1188.0],0,1,0,[],[],0,"(-1, -1)",321
"[5416.5, 1133.5]",1133.5,[1133.5],[1133.5],0,1,0,[],[],0,"(-1, -1)",321
"[5555.5, 1122.0]",1122.0,[1122.0],[1122.0],0,1,0,[],[],0,"(-1, -1)",321
"[7726.0, 1450.5]",1450.5,[1450.5],[1450.5],0,1,0,[],[],0,"(-1, -1)",321
"[8993.0, 1604.5]",1604.5,[1604.5],[1604.5],0,1,0,[],[],0,"(-1, -1)",321
"[8992.0, 1532.0]",1532.0,[1532.0],[1532.0],0,1,0,[],[],0,"(-1, -1)",321
[1062.0],1062.0,[1062.0],[1062.0],0,1,0,[],[],0,"(-1, -1)",321
"[2750.0, 1205.5]",1205.5,[1205.5],[1205.5],0,1,0,[],[],0,"(-1, -1)",321
"[2775.0, 1204.0]",1204.0,[1204.0],[1204.0],0,1,0,[],[],0,"(-1, -1)",321
"[825.5, 2689.5, 1087.5]",1087.5,"[825.5, 1087.5]","[1087.5, 825.5]",2,2,0,[],[],1,"(-1, -1)",321
"[2404.0, 1239.0, 505.0]",1239.0,[1239.0],[1239.0],0,1,0,[],[],0,"(-1, -1)",321
"[2318.0, 1325.5, 524.5]",1325.5,[1325.5],[1325.5],0,1,0,[],[],0,"(-1, -1)",321
"[2020.5, 946.0, 319.5]",946.0,[946.0],[946.0],0,1,0,[],[],0,"(-1, -1)",321
"[1827.0, 718.5, 140.5]",718.5,[718.5],[718.5],0,1,0,[],[],0,"(-1, -1)",321
"[2048.5, 308.0]",308.0,[308.0],[308.0],0,1,0,[],[],0,"(-1, -1)",321
[2202.5],7.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[3669.5, 36.0, 825.0, 169.5]",825.0,[825.0],[825.0],0,1,0,[],[],0,"(-1, -1)",321
"[5343.5, 1570.5, 666.5]",1570.5,[1570.5],[1570.5],0,1,0,[],[],0,"(-1, -1)",321
"[7743.0, 2178.5, 924.5]",924.5,[924.5],[924.5],0,1,0,[],[],0,"(-1, -1)",321
"[11486.5, 3991.0, 1607.0]",1607.0,[1607.0],[1607.0],0,1,0,[],[],0,"(-1, -1)",321
"[11491.0, 4004.0, 1608.5]",1608.5,[1608.5],[1608.5],0,1,0,[],[],0,"(-1, -1)",321
"[11495.5, 3994.5, 1610.5]",1610.5,[1610.5],[1610.5],0,1,0,[],[],0,"(-1, -1)",321
"[12720.0, 11117.5, 2739.0]",16.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[11563.0, 163.5, 10370.5, 2500.0]",163.5,[163.5],[163.5],0,1,0,[],[],0,"(-1, -1)",321
"[22369.5, 34.5, 2596.0]",34.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[340.5, 26349.5, 3033.0, 39.0]",340.5,[340.5],[340.5],0,1,0,[],[],0,"(-1, -1)",321
"[170.5, 30595.0, 3068.5, 42.0]",170.5,[170.5],[170.5],0,1,0,[],[],0,"(-1, -1)",321
